Day,P5,Median,P95
0,0.9749430090790061,1.0015671418460068,1.0282222847983602
1,0.9649152519095746,1.003401088280192,1.0408677750151418
2,0.9598614915726209,1.0046437634961385,1.0506155714894325
3,0.9536887663533289,1.006097866754999,1.058937210422435
4,0.9484849755697816,1.0073548533838674,1.0664501558617063
5,0.9440566943652519,1.0087111469317063,1.074405900404677
6,0.9421769852370213,1.0094028019693888,1.082209439837003
7,0.9379889002433982,1.0113544833904746,1.088883483804766
8,0.9358277265603356,1.0128825718228365,1.095179470025481
9,0.932708640601298,1.0145002977989277,1.1017026239889738
10,0.9292848640610845,1.0158495177041833,1.1078168163051427
11,0.9278337301899977,1.0171085569459555,1.114050578100827
12,0.9251220095157647,1.018382016917435,1.1185225808120236
13,0.9226257121129655,1.0190700329674558,1.124164063040819
14,0.9211252552940293,1.0210118654355298,1.1315578335160306
15,0.9194414614143355,1.0215545984193595,1.136557340754513
16,0.9181132755732724,1.0232247994757921,1.1403692912357721
17,0.9155509037934076,1.0248170674714292,1.1460871059348547
18,0.9126380367748358,1.0252063497252402,1.1498659407753042
19,0.912336614185718,1.0276627409590868,1.1567264659848207
20,0.9102225611338791,1.029559489992109,1.1624824953797173
21,0.9094008912038802,1.0303247314612776,1.1658273705162592
22,0.9071465257337782,1.0320800820216762,1.1701108973983319
23,0.9072011598903239,1.0330995367737548,1.175996621299102
24,0.9054802296234546,1.0350178070540133,1.1825561310177233
25,0.9053032848020984,1.0362759716334375,1.1859820487553545
26,0.9041885522493476,1.0370603770546039,1.1899787974408216
27,0.9006706333927161,1.0386375862468216,1.195025635346652
28,0.9009051609899299,1.0398624465476098,1.1994949399309824
29,0.9001803082706036,1.0416309692993337,1.203662217677959
30,0.8980593792059874,1.0426091463574743,1.2097461831663183
31,0.8979140880453022,1.0440563074504814,1.213086564307235
32,0.8957456932078639,1.046028774807422,1.21678432458377
33,0.8954678113589073,1.0484835550315903,1.2203418142956615
34,0.8954691066987902,1.049224806839244,1.2249195693793518
35,0.8944413014919398,1.0510197785891773,1.2300474767681697
36,0.892561863272854,1.0520961451696516,1.2331554931014825
37,0.891847378128947,1.0531264147953192,1.2393150753567514
38,0.8924173194540795,1.055327726840392,1.2426119361941614
39,0.8916355894216004,1.0574069431742243,1.2471538855595683
40,0.8891056890972943,1.0592704054134061,1.2517367401548787
41,0.8882638871276279,1.061095135712247,1.2557326366494537
42,0.8901168397087925,1.0618247745647604,1.2619564651201354
43,0.8915392306203521,1.0635762401297775,1.2639459903196941
44,0.8886269001698379,1.0650104067941326,1.2683607776246903
45,0.8881692506374078,1.066051819268984,1.2717914002248178
46,0.8870851734652239,1.0675661383251263,1.273444273852246
47,0.8864427498328717,1.069126238670559,1.2777753804514456
48,0.8863701959626415,1.0704516404447912,1.2840321169246416
49,0.8870978498476775,1.0721359431014807,1.287923778795499
50,0.8868119076503972,1.0738148941178118,1.2942965333511778
51,0.8867735270387899,1.0749359421830036,1.294369761438261
52,0.8875376499717382,1.0763354921815733,1.3004918945778816
53,0.8848876582343232,1.0776077234790877,1.304926504657014
54,0.8845408531971464,1.0796042286931755,1.3077844558457496
55,0.8846838649705915,1.0804994294387977,1.3113169417363852
56,0.8838612398597986,1.0814245481892482,1.317613884792561
57,0.8833052952914952,1.0837293763718219,1.3199784144856868
58,0.8827440101563779,1.084594204756005,1.3235725346271818
59,0.8808058518161177,1.0853957785944859,1.327535853018853
60,0.8821388376437841,1.0871692218403555,1.334175098692059
61,0.8803764786828981,1.0887981849932487,1.336350470157092
62,0.8831628797236504,1.0908512390060188,1.3415274758349691
63,0.882870573122957,1.0921728328100446,1.3443321031551414
64,0.8827869018650897,1.093745034488681,1.3494528076481627
65,0.8817099366700283,1.0963603403084674,1.3551419536060312
66,0.8819852509860251,1.0976234889315757,1.3580274822858878
67,0.8818379852355469,1.099982301720683,1.3639640277747636
68,0.8825767405961017,1.1005496520151645,1.3705305508331163
69,0.8823589799154515,1.1023441828762053,1.3745331916928236
70,0.8813041779824027,1.1033174483042776,1.378263395571269
71,0.8816486728487269,1.103910332208725,1.3809707440752759
72,0.8805053626027823,1.1065061396559255,1.3840860191212683
73,0.8809490173777532,1.1090657710268734,1.3873681895781858
74,0.8788875718920394,1.1100389012924006,1.395289560656819
75,0.8783717905974178,1.1115049686074048,1.3976443783733912
76,0.8803008346184771,1.113221360783807,1.3990400127048825
77,0.8816526876312212,1.1138744027156,1.4031710098057895
78,0.8817416882147312,1.1154918477818856,1.408247126177482
79,0.8818770028721475,1.1175705653034917,1.4121045952939513
80,0.880862825868245,1.1176974767709769,1.4190932862486287
81,0.8807692566533204,1.1201057589740593,1.4223892243507368
82,0.8813733028308623,1.120795618072004,1.4278509100981873
83,0.8800573202981083,1.1217720359325418,1.4303107274054891
84,0.8799859371610039,1.1245765441829496,1.4384943622305426
85,0.8798309814260582,1.1260501056337002,1.4405278114226672
86,0.87870165265129,1.129254803539574,1.4451542078355644
87,0.8781561257328011,1.1314665034039924,1.44998098582486
88,0.8776525770432225,1.131606476405238,1.4522725335782392
89,0.8758798208438966,1.134050408307286,1.4545417932792628
90,0.8765724295486667,1.135541605682433,1.458542991472531
91,0.8772423496833925,1.1376727319027617,1.4630916946211094
92,0.8784720679044044,1.1397388461168352,1.4653740243700446
93,0.8790952356679498,1.1408377645233363,1.4669291697496576
94,0.8789518025504998,1.1433403031755067,1.4725783693431362
95,0.8778633035685236,1.1450965980421932,1.4794808370772694
96,0.8769733998086462,1.144923796872582,1.4812956949107434
97,0.8765018511627521,1.1461497182222709,1.4843488613786417
98,0.8754288937109725,1.147200776882432,1.4896108264657615
99,0.8778975371013502,1.1491779280234644,1.4961380268340356
100,0.8760363784722965,1.1503917130734584,1.4997093815567457
101,0.8763985808314888,1.1524090730892596,1.501694319931352
102,0.8773595042228516,1.1532849532288236,1.5075217162744967
103,0.8762628462742705,1.1554080667987954,1.5107630416518159
104,0.8759464678366368,1.15680073087141,1.511621114143586
105,0.8731402928010878,1.1577734592132882,1.5160828780780604
106,0.8757791941187778,1.1591984244203464,1.5217315861976064
107,0.8745221644851012,1.1617340246115182,1.527476905576852
108,0.8760763767269142,1.165121222392256,1.5331174995044254
109,0.8759439595250899,1.1667289388033075,1.535999802929684
110,0.8769088011835193,1.1670231120241856,1.5402669878558395
111,0.8761464074795539,1.1696265036771871,1.5436429348023035
112,0.8778134725980338,1.1708813506617413,1.543135406261513
113,0.8769411524861683,1.1726386393068884,1.548018020122729
114,0.8771086617082401,1.1738313869162367,1.5539857979815663
115,0.8782629910416672,1.1745891376488997,1.5564829614719269
116,0.8790152904966236,1.1750348396635837,1.5615543587994607
117,0.8781023878493269,1.1773470527200618,1.5636385018909602
118,0.8789492683025896,1.1802032424159354,1.5713216403101171
119,0.8782745733080548,1.1811881212143844,1.5697059987003787
120,0.8773861380604692,1.1817329631329183,1.5749434648768585
121,0.8784233831918344,1.18267126615607,1.577757238648079
122,0.8780478917290436,1.1842400489314542,1.5810082714497053
123,0.8782222408836525,1.1863430121100254,1.5832775831139572
124,0.8776753561877048,1.1881681104025665,1.588081848456288
125,0.8759636196582113,1.1895544040842574,1.588161558601625
126,0.8776683151764312,1.1895967374285936,1.5956909809448283
127,0.8772624352595679,1.1913433233111748,1.600609998551743
128,0.8800589188897625,1.1917749704581673,1.6086023381121888
129,0.8803621306610242,1.1951575870391309,1.6120063787455912
130,0.879603567527427,1.1960613025989415,1.6135525605393422
131,0.8807895879836035,1.19982793966079,1.6158061406775452
132,0.8813688568485468,1.200233631737527,1.6204596984845128
133,0.8824781145735751,1.2022144763027571,1.6258560138348008
134,0.8810837908816032,1.2036723924190906,1.6340674542924947
135,0.8807853969419583,1.2062732989685947,1.6382162871816452
136,0.8822620407899405,1.2071717602545524,1.6421499804304494
137,0.8811363989258276,1.2092928630597544,1.6448284494782832
138,0.8833404472473693,1.2103731168523195,1.6514160627628218
139,0.8826632873127961,1.2128768747695786,1.6530088443347353
140,0.8829681827882591,1.2137732273993875,1.6581696806359676
141,0.8807205870679121,1.2141969152183987,1.659695836439821
142,0.8821356787250392,1.2160993421323232,1.6636219939994534
143,0.8828476529360658,1.2195194123295503,1.667600900935557
